A.J.,Green,WR,10,226.8,16,14.2
Aaron,Rodgers,QB,45,129.5,7,18.5
Adam,Thielen,WR,81,239.8,16,15
Adrian,Peterson,RB,66,78.9,10,7.9
Allen,Robinson,WR,52,57,14,4.1
Alshon,Jeffery,WR,29,195.9,16,12.2
Amari,Cooper,WR,20,158.4,14,11.3
Ameer,Abdullah,RB,70,124.4,14,8.9
Antonio,Brown,WR,3,310.3,14,22.2
Bilal,Powell,RB,50,145.2,15,9.7
Brandin,Cooks,WR,14,221.2,16,13.8
Brandon,Marshall,WR,63,33.4,5,6.7
C.J.,Anderson,RB,68,175.1,16,10.9
Cam,Newton,QB,90,299.5,16,18.7
Carlos,Hyde,RB,36,234,16,14.6
Chris,Hogan,WR,86,109.6,9,12.2
Christian,McCaffrey,RB,35,228.6,16,14.3
Dalvin,Cook,RB,41,65.4,4,16.4
Danny,Woodhead,RB,51,58.6,8,7.3
Davante,Adams,WR,42,222.5,14,15.9
David,Johnson,RB,1,13.1,1,13.1
DeAndre,Hopkins,WR,28,309.8,15,20.7
Delanie,Walker,TE,87,174.5,16,10.9
DeMarco,Murray,RB,16,171.5,15,11.4
Demaryius,Thomas,WR,25,205.9,16,12.9
DeSean,Jackson,WR,75,138.6,14,9.9
DeVante,Parker,WR,64,130,13,10
Devonta,Freeman,RB,12,200.2,14,14.3
Dez,Bryant,WR,23,186.5,16,11.7
Donte,Moncrief,WR,83,77.1,12,6.4
Doug,Baldwin,WR,17,225.3,16,14.1
Doug,Martin,RB,93,76,11,6.9
Drew,Brees,QB,57,262.6,16,16.4
Duke,Johnson,RB,77,216.1,16,13.5
Eddie,Lacy,RB,94,28.6,9,3.2
Emmanuel,Sanders,WR,43,114.5,12,9.5
Eric,Decker,WR,74,116.3,16,7.3
Ezekiel,Elliott,RB,4,203.2,10,20.3
Frank,Gore,RB,62,173.6,16,10.9
Golden,Tate,WR,34,224.5,16,14
Greg,Olsen,TE,55,42.1,7,6
Isaiah,Crowell,RB,30,143.5,16,9
James,White,RB,92,134,14,9.6
Jamison,Crowder,WR,49,160.3,15,10.7
Jarvis,Landry,WR,46,260,16,16.3
Jay,Ajayi,RB,18,135.1,14,9.7
Jeremy,Maclin,WR,71,102,12,8.5
Jimmy,Graham,TE,78,171,16,10.7
Joe,Mixon,RB,54,141.3,14,10.1
Jonathan,Stewart,RB,97,117.2,15,7.8
Jordan,Howard,RB,15,199.5,16,12.5
Jordan,Reed,TE,40,60.1,6,10
Jordy,Nelson,WR,7,137.2,14,9.8
Julio,Jones,WR,6,251.9,16,15.7
Kareem,Hunt,RB,32,295.2,16,18.5
Keenan,Allen,WR,33,284.2,16,17.8
Kelvin,Benjamin,WR,47,135.2,14,9.7
Kenny,Britt,WR,84,57.6,12,4.8
Kirk,Cousins,QB,91,277.6,16,17.4
Kyle,Rudolph,TE,88,158.2,16,9.9
Lamar,Miller,RB,27,193.5,16,12.1
Larry,Fitzgerald,WR,37,261.4,16,16.3
Le'Veon,Bell,RB,2,341.6,15,22.8
LeGarrette,Blount,RB,99,107.6,16,6.7
Leonard,Fournette,RB,24,230.2,13,17.7
